Geographic Area Name,Year,Meaning of Survey Component,Aggregate Description,Meaning of Aggregate Description,Meaning of Type of Government,Amount Formatted
Washington,2018,Annual Survey of State Government Tax Collection,ST0T28,"Occupation and Business License Taxes, NEC",State,"357,370"
Washington,2019,Annual Survey of State Government Tax Collection,ST0T28,"Occupation and Business License Taxes, NEC",State,"362,762"
Washington,2020,Annual Survey of State Government Tax Collection,ST0T28,"Occupation and Business License Taxes, NEC",State,"379,875"
Washington,2016,Annual Survey of State Government Tax Collection,ST0T29,Other License Taxes,State,"161,678"
Washington,2017,Annual Survey of State Government Tax Collection,ST0T29,Other License Taxes,State,"169,076"
Washington,2018,Annual Survey of State Government Tax Collection,ST0T29,Other License Taxes,State,"176,649"
Washington,2019,Annual Survey of State Government Tax Collection,ST0T29,Other License Taxes,State,"177,337"
Washington,2020,Annual Survey of State Government Tax Collection,ST0T29,Other License Taxes,State,"171,073"
Washington,2016,Annual Survey of State Government Tax Collection,ST0T40,Individual Income Taxes,State,X
Washington,2017,Annual Survey of State Government Tax Collection,ST0T40,Individual Income Taxes,State,X
Washington,2018,Annual Survey of State Government Tax Collection,ST0T40,Individual Income Taxes,State,X
Washington,2019,Annual Survey of State Government Tax Collection,ST0T40,Individual Income Taxes,State,X
Washington,2020,Annual Survey of State Government Tax Collection,ST0T40,Individual Income Taxes,State,X
Washington,2016,Annual Survey of State Government Tax Collection,ST0T41,Corporations Net Income Taxes,State,X
Washington,2017,Annual Survey of State Government Tax Collection,ST0T41,Corporations Net Income Taxes,State,X
Washington,2018,Annual Survey of State Government Tax Collection,ST0T41,Corporations Net Income Taxes,State,X
Washington,2019,Annual Survey of State Government Tax Collection,ST0T41,Corporations Net Income Taxes,State,X
Washington,2020,Annual Survey of State Government Tax Collection,ST0T41,Corporations Net Income Taxes,State,X
Washington,2016,Annual Survey of State Government Tax Collection,ST0T50,Death and Gift Taxes,State,"136,035"
Washington,2017,Annual Survey of State Government Tax Collection,ST0T50,Death and Gift Taxes,State,"167,972"
Washington,2018,Annual Survey of State Government Tax Collection,ST0T50,Death and Gift Taxes,State,"208,610"
Washington,2019,Annual Survey of State Government Tax Collection,ST0T50,Death and Gift Taxes,State,"300,324"
Washington,2020,Annual Survey of State Government Tax Collection,ST0T50,Death and Gift Taxes,State,"634,915"
Washington,2016,Annual Survey of State Government Tax Collection,ST0T51,Documentarty and Stock Transfer Taxes,State,"945,026"
Washington,2017,Annual Survey of State Government Tax Collection,ST0T51,Documentarty and Stock Transfer Taxes,State,"1,072,649"
Washington,2018,Annual Survey of State Government Tax Collection,ST0T51,Documentarty and Stock Transfer Taxes,State,"1,161,436"
Washington,2019,Annual Survey of State Government Tax Collection,ST0T51,Documentarty and Stock Transfer Taxes,State,"1,165,883"
Washington,2020,Annual Survey of State Government Tax Collection,ST0T51,Documentarty and Stock Transfer Taxes,State,"1,226,500"
Washington,2016,Annual Survey of State Government Tax Collection,ST0T53,Severance Taxes,State,"39,731"
Washington,2017,Annual Survey of State Government Tax Collection,ST0T53,Severance Taxes,State,"35,055"
Washington,2018,Annual Survey of State Government Tax Collection,ST0T53,Severance Taxes,State,"41,307"
Washington,2019,Annual Survey of State Government Tax Collection,ST0T53,Severance Taxes,State,"47,100"
Washington,2020,Annual Survey of State Government Tax Collection,ST0T53,Severance Taxes,State,"38,408"
Washington,2016,Annual Survey of State Government Tax Collection,ST0T99,"Taxes, NEC",State,0
Washington,2017,Annual Survey of State Government Tax Collection,ST0T99,"Taxes, NEC",State,0
Washington,2018,Annual Survey of State Government Tax Collection,ST0T99,"Taxes, NEC",State,0
Washington,2019,Annual Survey of State Government Tax Collection,ST0T99,"Taxes, NEC",State,0
Washington,2020,Annual Survey of State Government Tax Collection,ST0T99,"Taxes, NEC",State,8
Washington,2016,Annual Survey of State Government Tax Collection,ST0TA1,Sales and Gross Receipts Taxes,State,"17,636,031"
Washington,2017,Annual Survey of State Government Tax Collection,ST0TA1,Sales and Gross Receipts Taxes,State,"19,173,581"
Washington,2018,Annual Survey of State Government Tax Collection,ST0TA1,Sales and Gross Receipts Taxes,State,"20,327,520"
Washington,2019,Annual Survey of State Government Tax Collection,ST0TA1,Sales and Gross Receipts Taxes,State,"21,373,727"
Washington,2020,Annual Survey of State Government Tax Collection,ST0TA1,Sales and Gross Receipts Taxes,State,"21,763,083"
Washington,2016,Annual Survey of State Government Tax Collection,ST0TA2,Selective Sales and Gross Receipts Taxes,State,"4,075,649"
Washington,2017,Annual Survey of State Government Tax Collection,ST0TA2,Selective Sales and Gross Receipts Taxes,State,"4,663,740"
Washington,2018,Annual Survey of State Government Tax Collection,ST0TA2,Selective Sales and Gross Receipts Taxes,State,"4,684,503"
Washington,2019,Annual Survey of State Government Tax Collection,ST0TA2,Selective Sales and Gross Receipts Taxes,State,"4,726,647"
Washington,2020,Annual Survey of State Government Tax Collection,ST0TA2,Selective Sales and Gross Receipts Taxes,State,"4,833,532"
Washington,2016,Annual Survey of State Government Tax Collection,ST0TA3,License Taxes,State,"1,461,200"
Washington,2017,Annual Survey of State Government Tax Collection,ST0TA3,License Taxes,State,"1,448,383"
Washington,2018,Annual Survey of State Government Tax Collection,ST0TA3,License Taxes,State,"2,070,931"
Washington,2019,Annual Survey of State Government Tax Collection,ST0TA3,License Taxes,State,"1,746,818"
Washington,2020,Annual Survey of State Government Tax Collection,ST0TA3,License Taxes,State,"1,615,374"
Washington,2016,Annual Survey of State Government Tax Collection,ST0TA4,Income Taxes,State,X
Washington,2017,Annual Survey of State Government Tax Collection,ST0TA4,Income Taxes,State,X
Washington,2018,Annual Survey of State Government Tax Collection,ST0TA4,Income Taxes,State,X
Washington,2019,Annual Survey of State Government Tax Collection,ST0TA4,Income Taxes,State,X
Washington,2020,Annual Survey of State Government Tax Collection,ST0TA4,Income Taxes,State,X
Washington,2016,Annual Survey of State Government Tax Collection,ST0TA5,Other Taxes,State,"1,120,792"
Washington,2017,Annual Survey of State Government Tax Collection,ST0TA5,Other Taxes,State,"1,275,676"
Washington,2018,Annual Survey of State Government Tax Collection,ST0TA5,Other Taxes,State,"1,411,353"
Washington,2019,Annual Survey of State Government Tax Collection,ST0TA5,Other Taxes,State,"1,513,307"
Washington,2020,Annual Survey of State Government Tax Collection,ST0TA5,Other Taxes,State,"1,899,831"
